InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
109880	22629	MINT, Biogrid	1	1	2	8668348, 27034005
109880	15461	MINT, Biogrid	1	1	2	8668348, 27034005
26395	109880	MINT, Biogrid	1	1	2	8668348, 27034005
109880	26396	MINT, Biogrid	1	1	2	8668348, 27034005
68828	1837	MINT	1	1	1	11053421
11489	14784	MINT	1	1	1	11127814
56324	84092	MINT, Biogrid	1	1	3	10982817, 20130268, 32325033
56324	10617	MINT	2	2	1	10982817
20844	10617	MINT	1	1	1	10982817
84092	14784	MINT	1	1	1	10982817
13626	14056	MINT, IntAct, DIP, Biogrid	1	1	11	9742080, 12900441, 20064375, 20064376, 22094255, 17937919, 20075857, 22438827, 23624935, 24457600, 25680957
4215	22627	MINT	1	1	1	9452471
16443	13858	MINT, Biogrid	1	1	1	10064583
13859	16443	MINT	1	1	1	10064583
16443	13430	MINT	1	1	1	10064583
16443	13429	MINT, Biogrid	1	1	2	10064583, 21712076
11556	6714	MINT, Biogrid	1	1	1	11013230
14783	17999	MINT, Biogrid	1	1	2	10446181, 20980250
92	50791	MINT	1	1	1	10681527
22218	7161	MINT	1	1	1	10961991
6667	18044	MINT	1	1	1	10393239
22771	2735	MINT	2	2	1	11238441
22771	2737	MINT	2	2	1	11238441
22773	2737	MINT	2	2	1	11238441
19886	15170	MINT	1	1	1	11266449
19886	5777	MINT	1	1	1	11266449
17346	19094	MINT	1	1	1	9155017
17346	26417	MINT	1	1	1	9155017
26417	17347	MINT	1	1	1	9155017
19094	17347	MINT, Biogrid	1	1	2	9155017, 32325033
122953	11909	MINT	1	1	1	11231009
26404	26404	MINT, IntAct	2	2	2	10748113, 33600948
26404	19099	MINT	2	2	1	10748113
55935	8867	MINT	1	1	1	11292345
5605	16706	MINT, Biogrid	1	1	2	10409742, 26549023
3326	16706	MINT, Biogrid	2	2	2	10409742, 26549023
5604	16706	MINT, Biogrid	1	1	2	10409742, 26549023
3303	16706	MINT	2	2	1	10409742
3304	16706	MINT	2	2	1	10409742
16706	7529	MINT, IntAct, Biogrid	1	1	3	10409742, 15684389, 26549023
11140	16706	MINT, Biogrid	2	2	2	10409742, 26549023
16706	5595	MINT	2	2	1	10409742
5592	56278	MINT	1	1	1	10671526
18521	68794	MINT	1	1	1	8871564
19264	16452	MINT	1	1	1	11201744
56616	11798	MINT, IntAct	2	2	2	10929712, 11604410
21353	29110	MINT	1	1	1	10581243
21353	56480	MINT, DIP, Biogrid	1	1	4	10581243, 18583960, 23746807, 27776110
56480	22030	MINT	3	3	1	10581243
26419	16476	MINT, Biogrid	1	1	11	10581243, 17255944, 21538482, 17276034, 17158449, 10748240, 15288121, 15218018, 15767678, 12223491, 9687507
16476	14281	MINT, Biogrid	1	1	4	1631061, 21478324, 15867431, 12145309
16476	16476	MINT, Biogrid	1	1	2	1631061, 21262356
13138	13138	MINT	1	1	3	11423118, 11502221, 19694806
14268	17136	MINT	1	1	1	11423128
22324	15387	MINT	1	1	1	7862126
20641	6606	MINT	1	1	1	9323129
20641	6607	MINT	1	1	1	9323129
107686	6606	MINT	1	1	1	9323129
107686	6607	MINT	1	1	1	9323129
69878	6606	MINT	1	1	1	9323129
69878	6607	MINT	1	1	1	9323129
67332	6606	MINT	1	1	1	9323129
67332	6607	MINT	1	1	1	9323129
12049	317	MINT	1	1	1	9829980
56527	20650	MINT	1	1	1	10404183
17776	20650	MINT	1	1	1	10404183
20641	50628	MINT	1	1	1	10725331
67332	50628	MINT	1	1	1	10725331
50628	107686	MINT	1	1	1	10725331
13681	10605	MINT	1	1	1	9548260
7533	268903	MINT	2	2	1	11266503
20844	16453	MINT	1	1	1	9133424
20844	16452	MINT	1	1	1	9133424
16004	11765	MINT	1	1	1	11387476
16004	23062	MINT	1	1	1	11387476
12122	598	MINT, DIP	1	1	2	11583631, 18547146
12043	12122	MINT	2	2	1	11583631
14082	8717	MINT	1	1	1	8565075
12125	83658	MINT	1	1	1	10198631
598	12125	MINT, IntAct, DIP, Biogrid	1	1	4	10198631, 9430630, 15694340, 17177603
12125	596	MINT, IntAct, Biogrid	1	1	2	10198631, 15694340
12125	75465	MINT	3	3	1	10198631
596	75465	MINT	3	3	1	10198631
12125	599	MINT, IntAct, Biogrid	1	1	2	9430630, 15694340
65079	17136	MINT	1	1	2	11777918, 12089450
19099	351	MINT	2	2	1	11724784
11820	19099	MINT	2	2	2	11724784, 11517249
1616	14102	MINT, IntAct, Biogrid	1	1	2	11483955, 9215629
13163	14102	MINT, IntAct, Biogrid	1	1	2	11483955, 9215629
13163	7048	MINT, Biogrid	1	1	1	11483955
7082	14615	MINT	1	1	1	11557048
319152	12412	MINT, IntAct	1	1	2	11882902, 16547356
319153	12412	MINT, IntAct	1	1	2	11882902, 16547356
360198	12412	MINT, IntAct	1	1	2	11882902, 16547356
97908	12412	MINT, IntAct	1	1	2	11882902, 16547356
14463	2033	MINT, Biogrid	1	1	2	11481322, 20081228
23138	17999	MINT, Biogrid	1	1	1	11717310
17999	9683	MINT	1	1	1	11717310
19253	12988	MINT	2	2	1	11158295
1026	22088	MINT	1	1	1	11943869
68828	13346	MINT	2	2	1	11694502
51517	56419	MINT	1	1	1	11509578
1793	140580	MINT	2	2	1	11595183
13685	2475	MINT	2	2	1	11438723
13685	6198	MINT	2	2	1	11438723
16572	17978	MINT	1	1	1	11986669
17978	16573	MINT	1	1	1	11986669
17978	16574	MINT	1	1	1	11986669
65079	68585	MINT, Biogrid	2	2	2	11201742, 12839991
12122	578	MINT, DIP	1	1	2	10950869, 26344567
14797	15289	MINT	1	1	1	11748221
15289	17257	MINT	1	1	1	11748221
15289	21885	MINT	1	1	1	11748221
22059	15289	MINT	1	1	1	11748221
19698	15289	MINT	1	1	1	11748221
19645	15289	MINT	1	1	1	11748221
15289	3190	MINT	1	1	1	11748221
15289	22695	MINT	1	1	1	11748221
217069	55948	MINT	1	1	1	12075357
217069	9246	MINT	2	2	1	12075357
14084	14102	MINT	1	1	1	8524870
13164	6428	MINT	1	1	1	10823932
13164	8683	MINT	1	1	1	10823932
80987	2885	MINT	1	1	1	11157975
80987	8976	MINT	1	1	1	11157975
12984	6464	MINT	1	1	1	10704825
19364	7516	MINT, Biogrid	1	1	2	10749867, 14704354
20937	15182	MINT	3	3	1	11788710
20937	433759	MINT	3	3	1	11788710
20937	245688	MINT	3	3	1	11788710
20937	19646	MINT	3	3	1	11788710
22631	17349	MINT, Biogrid	1	1	2	12176995, 17008314
17349	68097	MINT	1	1	1	12176995
53356	17349	MINT	1	1	1	12176995
17349	12301	MINT	1	1	1	12176995
17975	17349	MINT	1	1	1	12176995
17349	192292	MINT, Biogrid	1	1	1	12176995
192292	192292	MINT	1	1	1	12176995
4291	192292	MINT	1	1	1	12176995
22630	12015	MINT, Biogrid	2	2	2	8929531, 32325033
11820	11785	MINT	1	1	1	11517249
11820	322	MINT	1	1	1	11517249
11820	321	MINT	1	1	1	11517249
11820	9479	MINT	1	1	1	11517249
11820	11787	MINT	1	1	1	11517249
11820	225372	MINT	1	1	1	11517249
13131	11820	MINT, IntAct, UniProt	1	1	3	11517249, 10460257, 12826668
11820	11784	MINT, IntAct	2	2	2	11517249, 20925061
5599	11820	MINT	3	3	1	11517249
5599	19099	MINT, IntAct	2	2	2	11517249, 16533805
11820	18222	MINT	1	1	1	12011466
17965	11820	MINT	1	1	1	12011466
19700	22631	MINT	1	1	1	10441394
140743	22631	MINT	2	2	1	10441394
20401	11350	MINT	1	1	1	8438166
20382	2521	MINT	2	2	1	9774382
330914	2561	MINT	1	1	1	12819203
83431	22627	MINT, Biogrid	1	1	4	12796778, 16944949, 18331715, 32325033
83431	18472	MINT, UniProt, DIP, Biogrid	1	1	6	12796778, 11231056, 17997972, 15208636, 18331715, 32325033
83431	54401	MINT	1	1	1	12796778
83431	22628	MINT	1	1	1	12796778
83431	22630	MINT	1	1	1	12796778
83431	22631	MINT, Biogrid	1	1	2	12796778, 16959763
209239	17755	MINT, Biogrid	2	2	2	12147674, 32325033
5788	16818	IntAct	2	2	1	8576115
18378	19716	MINT	1	1	1	12911636
18378	12069	MINT	1	1	1	12911636
16818	12504	IntAct, Biogrid	1	1	4	7664803, 7486703, 24034254, 10358158
